update,env_steps,bonus_min,bonus_max
1,2048,0.054838474839925766,0.06781702488660812
2,4096,0.03954537957906723,0.047947004437446594
4,8192,0.027974383905529976,0.03633163869380951
6,12288,0.02349347248673439,0.032257337123155594
8,16384,0.02055293135344982,0.029509838670492172
9,18432,0.019426684826612473,0.027844354510307312
